keyword,language,country,timeRange,trend,interestScore,relatedQueries,source,lastChecked,sourceUrl,trendType,change,sourceFile,topicCluster,isRelevant
carousel collage instagram,en,US,2026-05-08..2026-06-08,rising,3,,google_trends_manual,2026-06-08,,rising,8%,searched_with_rising-searches_US_20260508-2020_20260608-2020(2).csv,instagram_carousel,True
carousel instagram meaning,en,US,2026-05-08..2026-06-08,falling,10,,google_trends_manual,2026-06-08,,top,-30%,searched_with_top-searches_US_20260508-2020_20260608-2020(2).csv,instagram_carousel,True
carousel instagram post,en,US,2026-05-08..2026-06-08,rising,93,,google_trends_manual,2026-06-08,,rising,8%,searched_with_rising-searches_US_20260508-2020_20260608-2020(2).csv,instagram_carousel,True
carousel instagram post,en,US,2026-05-08..2026-06-08,rising,93,,google_trends_manual,2026-06-08,,top,8%,searched_with_top-searches_US_20260508-2020_20260608-2020(2).csv,instagram_carousel,True
carousel instagram template,en,US,2026-05-08..2026-06-08,rising,14,,google_trends_manual,2026-06-08,,rising,10%,searched_with_rising-searches_US_20260508-2020_20260608-2020(2).csv,instagram_carousel,True
carousel instagram template,en,US,2026-05-08..2026-06-08,rising,14,,google_trends_manual,2026-06-08,,top,10%,searched_with_top-searches_US_20260508-2020_20260608-2020(2).csv,instagram_carousel,True
carousel meaning,en,US,2026-05-08..2026-06-08,falling,11,,google_trends_manual,2026-06-08,,top,-20%,searched_with_top-searches_US_20260508-2020_20260608-2020(2).csv,carousel_general,True
carousel meaning instagram,en,US,2026-05-08..2026-06-08,falling,10,,google_trends_manual,2026-06-08,,top,-20%,searched_with_top-searches_US_20260508-2020_20260608-2020(2).csv,instagram_carousel,True
carousel meaning on instagram,en,US,2026-05-08..2026-06-08,falling,4,,google_trends_manual,2026-06-08,,rising,-1%,searched_with_rising-searches_US_20260508-2020_20260608-2020(2).csv,instagram_carousel,True
carousel meaning on instagram,en,US,2026-05-08..2026-06-08,falling,4,,google_trends_manual,2026-06-08,,top,-1%,searched_with_top-searches_US_20260508-2020_20260608-2020(2).csv,instagram_carousel,True
carousel of progress,en,US,2026-05-08..2026-06-08,breakout,10,,google_trends_manual,2026-06-08,,rising,Breakout,searched_with_rising-searches_US_20260508-2021_20260608-2021(1).csv,carousel_general,True
carousel of progress,en,US,2026-05-08..2026-06-08,breakout,5,,google_trends_manual,2026-06-08,,top,Breakout,searched_with_top-searches_US_20260508-2018_20260608-2018(1).csv,carousel_general,True
carousel on instagram,en,US,2026-05-08..2026-06-08,rising,100,,google_trends_manual,2026-06-08,,rising,4%,searched_with_rising-searches_US_20260508-2020_20260608-2020(2).csv,instagram_carousel,True
carousel on instagram,en,US,2026-05-08..2026-06-08,rising,100,,google_trends_manual,2026-06-08,,top,4%,searched_with_top-searches_US_20260508-2020_20260608-2020(2).csv,instagram_carousel,True
carousel on linkedin,en,US,2026-05-08..2026-06-08,falling,79,,google_trends_manual,2026-06-08,,rising,-10%,searched_with_rising-searches_US_20260508-2022_20260608-2022(2).csv,linkedin_carousel,True
carousel on linkedin,en,US,2026-05-08..2026-06-08,falling,79,,google_trends_manual,2026-06-08,,top,-10%,searched_with_top-searches_US_20260508-2022_20260608-2022(2).csv,linkedin_carousel,True
carousel post,en,US,2026-05-08..2026-06-08,rising,88,,google_trends_manual,2026-06-08,,rising,3%,searched_with_rising-searches_US_20260508-2020_20260608-2020(2).csv,carousel_general,True
carousel post,en,US,2026-05-08..2026-06-08,rising,88,,google_trends_manual,2026-06-08,,top,3%,searched_with_top-searches_US_20260508-2020_20260608-2020(2).csv,carousel_general,True
carousel post instagram,en,US,2026-05-08..2026-06-08,stable,88,,google_trends_manual,2026-06-08,,rising,0%,searched_with_rising-searches_US_20260508-2020_20260608-2020(2).csv,instagram_carousel,True
carousel post instagram,en,US,2026-05-08..2026-06-08,stable,88,,google_trends_manual,2026-06-08,,top,0%,searched_with_top-searches_US_20260508-2020_20260608-2020(2).csv,instagram_carousel,True
carousel post linkedin,en,US,2026-05-08..2026-06-08,rising,96,,google_trends_manual,2026-06-08,,rising,4%,searched_with_rising-searches_US_20260508-2022_20260608-2022(2).csv,linkedin_carousel,True
carousel post linkedin,en,US,2026-05-08..2026-06-08,rising,96,,google_trends_manual,2026-06-08,,top,4%,searched_with_top-searches_US_20260508-2022_20260608-2022(2).csv,linkedin_carousel,True
carousel posts instagram,en,US,2026-05-08..2026-06-08,rising,34,,google_trends_manual,2026-06-08,,rising,8%,searched_with_rising-searches_US_20260508-2020_20260608-2020(2).csv,instagram_carousel,True
carousel posts instagram,en,US,2026-05-08..2026-06-08,rising,34,,google_trends_manual,2026-06-08,,top,8%,searched_with_top-searches_US_20260508-2020_20260608-2020(2).csv,instagram_carousel,True
claude,en,US,2026-05-08..2026-06-08,rising,96,,google_trends_manual,2026-06-08,,rising,60%,searched_with_rising-searches_US_20260508-2021_20260608-2021(1).csv,other,False
